City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,saint george,20,GR,1530924600,83,39.45,22.34,71.6,3.04
88,victoria,90,BN,1530921600,94,5.28,115.24,77.0,1.12
89,wilmington,1,US,1530924900,61,39.75,-75.55,78.8,8.05
90,chuy,92,UY,1530926316,83,-33.69,-53.46,55.78,17.02
91,east london,0,ZA,1530926316,100,-33.02,27.91,65.95,16.24
92,nouadhibou,12,MR,1530925200,69,20.93,-17.03,73.4,10.29
93,gweta,0,BW,1530926584,74,-20.21,25.26,51.55,14.9
94,songkhla,40,TH,1530923400,94,7.2,100.6,80.6,3.36
95,kovdor,12,RU,1530926585,63,67.56,30.47,55.69,4.83
96,sumenep,0,ID,1530926585,95,-7.02,113.87,80.26,11.65
97,san quintin,40,PH,1530921600,78,17.54,120.52,82.4,4.7
98,rapina,0,EE,1530924600,100,58.1,27.46,60.8,9.17
99,becerril,24,CO,1530926586,55,9.7,-73.28,79.9,1.14
100,port blair,88,IN,1530926373,97,11.67,92.75,83.5,23.06
101,kayes,68,ML,1530926586,100,14.44,-11.44,72.97,9.98
102,smidovich,0,RU,1530926586,71,48.6,133.81,71.08,3.71
103,kutoarjo,0,ID,1530926587,93,-7.72,109.9,72.07,6.96
104,ewa beach,20,US,1530925020,45,21.32,-158.01,87.8,14.99
105,ilulissat,0,GL,1530924600,86,69.22,-51.1,39.2,5.82
106,hithadhoo,56,MV,1530926288,100,-0.6,73.08,78.82,8.41
107,lagoa,0,PT,1530925200,53,37.14,-8.45,73.4,6.93
108,esperance,20,TT,1530921600,88,10.24,-61.45,78.8,5.82
109,ranong,75,TH,1530921600,100,9.96,98.62,78.8,1.12
110,vila do maio,0,CV,1530926588,100,15.13,-23.22,74.59,5.61
111,mizdah,0,LY,1530926340,32,31.45,12.98,77.65,5.28
112,moroni,48,US,1530926589,22,39.52,-111.59,85.75,2.82
113,souillac,0,FR,1530925200,88,45.6,-0.6,62.6,4.61
114,faanui,36,PF,1530926394,100,-16.48,-151.75,79.99,10.42
115,mayna,92,RU,1530926590,100,53.0,91.49,48.94,1.59
116,tessalit,0,ML,1530926334,13,20.2,1.01,75.94,4.38
117,cap-aux-meules,75,CA,1530925200,82,47.38,-61.86,62.6,16.11
118,margate,75,AU,1530925200,81,-43.03,147.26,46.4,6.93
119,ponta do sol,0,BR,1530926274,73,-20.63,-46.0,58.03,4.83
120,tuktoyaktuk,90,CA,1530925200,81,69.44,-133.03,44.6,13.87
121,nanortalik,76,GL,1530926319,98,60.14,-45.24,36.25,1.92
122,awjilah,0,LY,1530926435,39,29.14,21.3,79.45,9.98
123,torbay,75,CA,1530925200,88,47.66,-52.73,64.4,26.4
124,west bay,0,GB,1530924600,93,50.71,-2.76,60.8,2.24
125,lebu,76,ET,1530926283,93,8.96,38.73,47.59,3.15
126,talnakh,36,RU,1530926593,55,69.49,88.39,52.09,3.71
127,vanimo,64,PG,1530926593,100,-2.67,141.3,78.55,7.4
128,madang,44,PG,1530926594,96,-5.21,145.81,78.64,3.15
129,castro,32,CL,1530926270,95,-42.48,-73.76,40.3,2.82
130,coihaique,0,CL,1530921600,86,-45.58,-72.07,30.2,1.92
131,sibolga,64,ID,1530926374,98,1.74,98.78,70.18,1.7
132,carnarvon,0,ZA,1530926301,56,-30.97,22.13,23.65,3.38
133,narsaq,75,GL,1530924600,70,60.91,-46.05,46.4,6.93
134,bambous virieux,40,MU,1530921600,64,-20.34,57.76,73.4,14.99
135,panzhihua,88,CN,1530926596,98,26.59,101.72,64.69,1.7
136,sterling,75,US,1530925020,54,39.0,-77.4,84.2,8.05
137,saint-philippe,1,CA,1530925200,42,45.36,-73.48,64.4,11.41
138,nome,90,US,1530924900,66,30.04,-94.42,86.0,4.7
139,longyearbyen,40,NO,1530924600,61,78.22,15.63,48.2,3.36
140,louiseville,0,CA,1530926597,54,46.26,-72.95,60.82,12.55
141,burnie,12,AU,1530926597,100,-41.05,145.91,50.92,31.0
142,arlit,20,NE,1530926426,15,18.74,7.39,74.41,3.38
143,vysokogornyy,0,RU,1530926598,63,50.1,139.13,63.61,3.04
144,hami,0,CN,1530926376,41,42.84,93.51,67.21,6.17
145,pevek,48,RU,1530926279,65,69.7,170.27,55.87,5.61
146,samarai,80,PG,1530926269,100,-10.62,150.67,77.92,10.76
147,knysna,0,ZA,1530925200,35,-34.04,23.05,55.4,4.7
148,lorengau,88,PG,1530926599,100,-2.02,147.27,78.19,6.17
149,lavrentiya,56,RU,1530926352,100,65.58,-170.99,43.63,10.31
150,brigantine,40,US,1530924960,88,39.41,-74.36,77.0,3.36
151,ottawa,20,CA,1530925200,45,45.42,-75.69,62.6,8.05
152,tasiilaq,48,GL,1530924600,75,65.61,-37.64,41.0,3.36
153,muncar,36,ID,1530926600,89,-8.43,114.34,75.49,8.41
154,madera,1,US,1530924900,20,36.96,-120.06,100.4,16.11
155,grindavik,75,IS,1530923400,93,63.84,-22.43,46.4,4.7
156,papara,75,BR,1530925200,94,-3.98,-38.73,75.2,11.41
157,vestmannaeyjar,92,IS,1530926341,100,63.44,-20.27,48.31,10.42
158,ayorou,48,NE,1530926602,60,14.73,0.92,83.41,9.86
159,cabo san lucas,5,MX,1530924780,38,22.89,-109.91,91.4,4.7
160,flagstaff,75,US,1530925020,24,35.2,-111.65,82.4,6.93
161,puerto carreno,40,CO,1530925200,74,6.19,-67.49,84.2,6.93
162,tongren,92,CN,1530926603,99,27.72,109.18,72.52,5.17
163,kinlochleven,0,GB,1530926603,79,56.71,-4.97,45.34,2.48
164,aksay,0,RU,1530926604,87,47.27,39.86,63.97,2.71
165,vanavara,32,RU,1530926298,72,60.35,102.28,55.24,3.71
166,inongo,0,CD,1530926605,72,-1.93,18.29,72.34,3.27
167,san policarpo,0,PH,1530926605,100,12.18,125.51,81.43,4.61
168,maragogi,92,BR,1530926605,93,-9.01,-35.22,75.04,8.41
169,butaritari,20,KI,1530926294,100,3.07,172.79,83.41,8.41
170,paamiut,48,GL,1530926326,98,61.99,-49.67,39.04,4.38
171,trindade,0,BR,1530921600,49,-16.66,-49.49,68.0,3.36
172,aykhal,100,RU,1530926411,100,65.95,111.51,44.89,6.96
173,severo-kurilsk,24,RU,1530926272,90,50.68,156.12,49.93,4.94
174,sheboygan,1,US,1530924960,48,43.75,-87.71,71.6,5.82
175,bayangol,0,MN,1530926607,77,48.91,106.09,52.72,4.27
176,saskylakh,76,RU,1530926286,70,71.97,114.09,48.94,4.61
177,kibakwe,32,TZ,1530926608,92,-6.71,36.37,57.76,4.38
178,shar,64,NG,1530926608,93,7.3,8.73,72.34,3.49
179,havelock,1,US,1530921480,78,34.88,-76.9,82.4,5.82
180,talara,0,PE,1530926608,73,-4.58,-81.27,70.81,8.19
181,fairbanks,1,US,1530925080,43,64.84,-147.72,71.6,5.82
182,sao jose da coroa grande,92,BR,1530926609,93,-8.9,-35.15,75.04,8.41
183,pangody,24,RU,1530926609,48,65.85,74.49,59.29,6.62
184,qasigiannguit,0,GL,1530924600,86,68.82,-51.19,39.2,5.82
185,geraldton,20,CA,1530925200,46,49.72,-86.95,69.8,6.93
186,polson,88,US,1530926610,21,47.69,-114.16,81.52,5.61
187,yellowknife,75,CA,1530923520,67,62.45,-114.38,60.8,23.04
188,chernenko,24,UA,1530926610,48,47.23,37.74,68.65,4.83
189,udachnyy,92,RU,1530926332,100,66.42,112.4,45.7,4.38
