City_ID,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
119,jacareacanga,br,72.89,-6.22,-57.76,98,76,2.04
120,barreiras,br,71.18,-12.14,-45,86,80,3.71
121,cape town,za,,,,,,
122,avarua,ck,77,-21.21,-159.78,69,20,11.41
123,khatanga,ru,10.25,71.98,102.47,93,24,10.2
124,dikson,ru,7.1,73.51,80.55,100,64,20.49
125,hajnowka,pl,54.62,52.74,23.58,71,12,7.18
126,pavlodar,kz,44.6,52.28,76.96,52,75,11.18
127,nome,us,48.13,30.04,-94.42,62,1,6.73
128,butaritari,ki,81.89,3.07,172.79,100,24,6.96
129,barentsburg,sj,,,,,,
130,tiksi,ru,22.85,71.64,128.87,92,92,13.78
131,bluff,nz,88.46,-23.58,149.07,51,8,4.61
132,cape town,za,,,,,,
133,mogadishu,so,80.6,2.04,45.34,94,75,5.82
134,cape town,za,,,,,,
135,heihe,cn,62.6,50.24,127.51,9,0,15.66
136,yellowknife,ca,17.6,62.45,-114.38,67,90,12.75
137,sentyabrskiy,ru,,,,,,
138,oksfjord,no,29.35,70.24,22.35,79,44,2.24
139,busselton,au,71.81,-33.64,115.35,87,48,13.56
140,busselton,au,71.81,-33.64,115.35,87,48,13.56
141,chuy,uy,67.13,-33.69,-53.46,83,8,13.11
142,atuona,pf,82.43,-9.8,-139.03,99,76,18.25
143,muscat,om,84.2,23.6,58.55,51,0,8.05
144,port elizabeth,za,,,,,,
145,poum,nc,45.8,41.28,20.71,68,20,2.04
146,kaitangata,nz,56.6,-46.28,169.85,60,0,24.29
147,luino,it,47.61,46,8.74,100,0,1.12
148,saskylakh,ru,16.46,71.97,114.09,86,0,8.63
149,hermanus,za,48.5,-34.42,19.24,89,0,3.83
150,bereda,so,44.6,43.27,-7.54,93,0,6.93
151,thompson,ca,30.2,55.74,-97.86,30,20,3.36
152,vaini,to,77.12,15.34,74.49,81,8,2.26
153,mataura,pf,55.79,-46.19,168.86,69,0,19.82
154,punta arenas,cl,,,,,,
155,taolanaro,mg,,,,,,
156,punta arenas,cl,,,,,,
157,luanda,ao,77,-8.83,13.24,94,40,2.24
158,bethel,us,37.4,60.79,-161.76,100,90,3.36
159,lorengau,pg,85.4,-2.02,147.27,96,8,9.08
160,lebu,cl,50.93,8.96,38.73,92,24,2.48
161,menzelinsk,ru,35.6,55.73,53.11,59,0,6.71
162,port alfred,za,,,,,,
163,albany,au,30.09,42.65,-73.75,98,90,8.41
164,illoqqortoormiut,gl,,,,,,
165,albany,au,30.09,42.65,-73.75,98,90,8.41
166,puerto ayora,ec,,,,,,
167,jamestown,sh,64.07,-33.21,138.6,78,92,10.76
168,qaanaaq,gl,-4.52,77.48,-69.36,79,36,8.3
169,rikitea,pf,79.46,-23.12,-134.97,100,76,17.25
170,tuatapere,nz,52.55,-46.13,167.69,100,8,17.92
171,turukhansk,ru,21.23,65.8,87.96,97,76,7.52
172,puerto ayora,ec,,,,,,
173,busselton,au,71.81,-33.64,115.35,87,48,13.56
174,port blair,in,,,,,,
175,butaritari,ki,81.89,3.07,172.79,100,24,6.96
176,tessalit,ml,57.14,20.2,1.01,19,0,8.97
177,illoqqortoormiut,gl,,,,,,
178,ushuaia,ar,46.4,-54.81,-68.31,65,0,3.36
